StrongSeed,WeakSeed,Round,Slot
W02,W16,4,R4W1
W15,W16,4,R4W1
W07,W16,4,R4W1
W10,W16,4,R4W1
W03,W16,4,R4W1
W14,W16,4,R4W1
W06,W16,4,R4W1
W11,W16,4,R4W1
W02,W08,4,R4W1
W08,W15,4,R4W1
W07,W08,4,R4W1
W08,W10,4,R4W1
W03,W08,4,R4W1
W08,W14,4,R4W1
W06,W08,4,R4W1
W08,W11,4,R4W1
W02,W09,4,R4W1
W09,W15,4,R4W1
W07,W09,4,R4W1
W09,W10,4,R4W1
W03,W09,4,R4W1
W09,W14,4,R4W1
W06,W09,4,R4W1
W09,W11,4,R4W1
W02,W04,4,R4W1
W04,W15,4,R4W1
W04,W07,4,R4W1
W04,W10,4,R4W1
W03,W04,4,R4W1
W04,W14,4,R4W1
W04,W06,4,R4W1
W04,W11,4,R4W1
W02,W13,4,R4W1
W13,W15,4,R4W1
W07,W13,4,R4W1
W10,W13,4,R4W1
W03,W13,4,R4W1
W13,W14,4,R4W1
W06,W13,4,R4W1
W11,W13,4,R4W1
W02,W05,4,R4W1
W05,W15,4,R4W1
W05,W07,4,R4W1
W05,W10,4,R4W1
W03,W05,4,R4W1
W05,W14,4,R4W1
W05,W06,4,R4W1
W05,W11,4,R4W1
W02,W12,4,R4W1
W12,W15,4,R4W1
W07,W12,4,R4W1
W10,W12,4,R4W1
W03,W12,4,R4W1
W12,W14,4,R4W1
W06,W12,4,R4W1
W11,W12,4,R4W1
X01,X02,4,R4X1
X01,X15,4,R4X1
X01,X07,4,R4X1
X01,X10,4,R4X1
X01,X03,4,R4X1
X01,X14,4,R4X1
X01,X06,4,R4X1
X01,X11,4,R4X1
X02,X16,4,R4X1
X15,X16,4,R4X1
X07,X16,4,R4X1
X10,X16,4,R4X1
X03,X16,4,R4X1
X14,X16,4,R4X1
X06,X16,4,R4X1
X11,X16,4,R4X1
X02,X08,4,R4X1
X08,X15,4,R4X1
X07,X08,4,R4X1
X08,X10,4,R4X1
X03,X08,4,R4X1
X08,X14,4,R4X1
X06,X08,4,R4X1
X08,X11,4,R4X1
X02,X09,4,R4X1
X09,X15,4,R4X1
X07,X09,4,R4X1
X09,X10,4,R4X1
X03,X09,4,R4X1
X09,X14,4,R4X1
X06,X09,4,R4X1
X09,X11,4,R4X1
X02,X04,4,R4X1
X04,X15,4,R4X1
X04,X07,4,R4X1
X04,X10,4,R4X1
X03,X04,4,R4X1
X04,X14,4,R4X1
X04,X06,4,R4X1
X04,X11,4,R4X1
X02,X13,4,R4X1
X13,X15,4,R4X1
X07,X13,4,R4X1
X10,X13,4,R4X1
X03,X13,4,R4X1
X13,X14,4,R4X1
X06,X13,4,R4X1
X11,X13,4,R4X1
X02,X05,4,R4X1
X05,X15,4,R4X1
X05,X07,4,R4X1
X05,X10,4,R4X1
X03,X05,4,R4X1
X05,X14,4,R4X1
X05,X06,4,R4X1
X05,X11,4,R4X1
X02,X12,4,R4X1
X12,X15,4,R4X1
X07,X12,4,R4X1
X10,X12,4,R4X1
X03,X12,4,R4X1
X12,X14,4,R4X1
X06,X12,4,R4X1
X11,X12,4,R4X1
Y01,Y02,4,R4Y1
Y01,Y15,4,R4Y1
Y01,Y07,4,R4Y1
Y01,Y10,4,R4Y1
Y01,Y03,4,R4Y1
Y01,Y14,4,R4Y1
Y01,Y06,4,R4Y1
Y01,Y11,4,R4Y1
Y02,Y16,4,R4Y1
Y15,Y16,4,R4Y1
Y07,Y16,4,R4Y1
Y10,Y16,4,R4Y1
Y03,Y16,4,R4Y1
Y14,Y16,4,R4Y1
Y06,Y16,4,R4Y1
Y11,Y16,4,R4Y1
Y02,Y08,4,R4Y1
Y08,Y15,4,R4Y1
Y07,Y08,4,R4Y1
Y08,Y10,4,R4Y1
Y03,Y08,4,R4Y1
Y08,Y14,4,R4Y1
Y06,Y08,4,R4Y1
Y08,Y11,4,R4Y1
Y02,Y09,4,R4Y1
Y09,Y15,4,R4Y1
Y07,Y09,4,R4Y1
Y09,Y10,4,R4Y1
Y03,Y09,4,R4Y1
Y09,Y14,4,R4Y1
Y06,Y09,4,R4Y1
Y09,Y11,4,R4Y1
Y02,Y04,4,R4Y1
Y04,Y15,4,R4Y1
Y04,Y07,4,R4Y1
Y04,Y10,4,R4Y1
Y03,Y04,4,R4Y1
Y04,Y14,4,R4Y1
Y04,Y06,4,R4Y1
Y04,Y11,4,R4Y1
Y02,Y13,4,R4Y1
Y13,Y15,4,R4Y1
Y07,Y13,4,R4Y1
Y10,Y13,4,R4Y1
Y03,Y13,4,R4Y1
Y13,Y14,4,R4Y1
Y06,Y13,4,R4Y1
Y11,Y13,4,R4Y1
Y02,Y05,4,R4Y1
Y05,Y15,4,R4Y1
Y05,Y07,4,R4Y1
Y05,Y10,4,R4Y1
Y03,Y05,4,R4Y1
Y05,Y14,4,R4Y1
Y05,Y06,4,R4Y1
Y05,Y11,4,R4Y1
Y02,Y12,4,R4Y1
Y12,Y15,4,R4Y1
Y07,Y12,4,R4Y1
Y10,Y12,4,R4Y1
Y03,Y12,4,R4Y1
Y12,Y14,4,R4Y1
Y06,Y12,4,R4Y1
Y11,Y12,4,R4Y1
Z01,Z02,4,R4Z1
Z01,Z15,4,R4Z1
Z01,Z07,4,R4Z1
Z01,Z10,4,R4Z1
Z01,Z03,4,R4Z1
Z01,Z14,4,R4Z1
Z01,Z06,4,R4Z1
Z01,Z11,4,R4Z1
Z02,Z16,4,R4Z1
Z15,Z16,4,R4Z1
Z07,Z16,4,R4Z1
Z10,Z16,4,R4Z1
Z03,Z16,4,R4Z1
Z14,Z16,4,R4Z1
Z06,Z16,4,R4Z1
Z11,Z16,4,R4Z1
Z02,Z08,4,R4Z1
Z08,Z15,4,R4Z1
Z07,Z08,4,R4Z1
Z08,Z10,4,R4Z1
Z03,Z08,4,R4Z1
Z08,Z14,4,R4Z1
Z06,Z08,4,R4Z1
Z08,Z11,4,R4Z1
Z02,Z09,4,R4Z1
Z09,Z15,4,R4Z1
Z07,Z09,4,R4Z1
Z09,Z10,4,R4Z1
Z03,Z09,4,R4Z1
Z09,Z14,4,R4Z1
Z06,Z09,4,R4Z1
Z09,Z11,4,R4Z1
Z02,Z04,4,R4Z1
Z04,Z15,4,R4Z1
Z04,Z07,4,R4Z1
Z04,Z10,4,R4Z1
Z03,Z04,4,R4Z1
Z04,Z14,4,R4Z1
Z04,Z06,4,R4Z1
Z04,Z11,4,R4Z1
Z02,Z13,4,R4Z1
Z13,Z15,4,R4Z1
Z07,Z13,4,R4Z1
Z10,Z13,4,R4Z1
Z03,Z13,4,R4Z1
Z13,Z14,4,R4Z1
Z06,Z13,4,R4Z1
Z11,Z13,4,R4Z1
Z02,Z05,4,R4Z1
Z05,Z15,4,R4Z1
Z05,Z07,4,R4Z1
Z05,Z10,4,R4Z1
Z03,Z05,4,R4Z1
Z05,Z14,4,R4Z1
Z05,Z06,4,R4Z1
Z05,Z11,4,R4Z1
Z02,Z12,4,R4Z1
Z12,Z15,4,R4Z1
Z07,Z12,4,R4Z1
Z10,Z12,4,R4Z1
Z03,Z12,4,R4Z1
Z12,Z14,4,R4Z1
Z06,Z12,4,R4Z1
Z11,Z12,4,R4Z1
W01,X01,5,R5WX
W01,X02,5,R5WX
W01,X03,5,R5WX
W01,X04,5,R5WX
W01,X05,5,R5WX
W01,X06,5,R5WX
W01,X07,5,R5WX
W01,X08,5,R5WX
W01,X09,5,R5WX
W01,X10,5,R5WX
W01,X11,5,R5WX
W01,X12,5,R5WX
W01,X13,5,R5WX
W01,X14,5,R5WX
W01,X15,5,R5WX
W01,X16,5,R5WX
W02,X01,5,R5WX
W02,X02,5,R5WX
W02,X03,5,R5WX
W02,X04,5,R5WX
W02,X05,5,R5WX
W02,X06,5,R5WX
W02,X07,5,R5WX
W02,X08,5,R5WX
W02,X09,5,R5WX
W02,X10,5,R5WX
W02,X11,5,R5WX
W02,X12,5,R5WX
W02,X13,5,R5WX
W02,X14,5,R5WX
W02,X15,5,R5WX
W02,X16,5,R5WX
W03,X01,5,R5WX
W03,X02,5,R5WX
W03,X03,5,R5WX
W03,X04,5,R5WX
W03,X05,5,R5WX
W03,X06,5,R5WX
W03,X07,5,R5WX
W03,X08,5,R5WX
W03,X09,5,R5WX
W03,X10,5,R5WX
W03,X11,5,R5WX
W03,X12,5,R5WX
W03,X13,5,R5WX
W03,X14,5,R5WX
W03,X15,5,R5WX
W03,X16,5,R5WX
W04,X01,5,R5WX
W04,X02,5,R5WX
W04,X03,5,R5WX
W04,X04,5,R5WX
W04,X05,5,R5WX
W04,X06,5,R5WX
W04,X07,5,R5WX
W04,X08,5,R5WX
W04,X09,5,R5WX
W04,X10,5,R5WX
W04,X11,5,R5WX
W04,X12,5,R5WX
W04,X13,5,R5WX
W04,X14,5,R5WX
W04,X15,5,R5WX
W04,X16,5,R5WX
W05,X01,5,R5WX
W05,X02,5,R5WX
W05,X03,5,R5WX
W05,X04,5,R5WX
W05,X05,5,R5WX
W05,X06,5,R5WX
W05,X07,5,R5WX
W05,X08,5,R5WX
W05,X09,5,R5WX
W05,X10,5,R5WX
W05,X11,5,R5WX
W05,X12,5,R5WX
W05,X13,5,R5WX
W05,X14,5,R5WX
W05,X15,5,R5WX
W05,X16,5,R5WX
W06,X01,5,R5WX
W06,X02,5,R5WX
W06,X03,5,R5WX
W06,X04,5,R5WX
W06,X05,5,R5WX
W06,X06,5,R5WX
W06,X07,5,R5WX
W06,X08,5,R5WX
W06,X09,5,R5WX
W06,X10,5,R5WX
W06,X11,5,R5WX
W06,X12,5,R5WX
W06,X13,5,R5WX
W06,X14,5,R5WX
W06,X15,5,R5WX
W06,X16,5,R5WX
W07,X01,5,R5WX
W07,X02,5,R5WX
W07,X03,5,R5WX
W07,X04,5,R5WX
W07,X05,5,R5WX
W07,X06,5,R5WX
W07,X07,5,R5WX
W07,X08,5,R5WX
W07,X09,5,R5WX
W07,X10,5,R5WX
W07,X11,5,R5WX
W07,X12,5,R5WX
W07,X13,5,R5WX
W07,X14,5,R5WX
W07,X15,5,R5WX
W07,X16,5,R5WX
W08,X01,5,R5WX
W08,X02,5,R5WX
W08,X03,5,R5WX
W08,X04,5,R5WX
W08,X05,5,R5WX
W08,X06,5,R5WX
W08,X07,5,R5WX
W08,X08,5,R5WX
W08,X09,5,R5WX
W08,X10,5,R5WX
W08,X11,5,R5WX
W08,X12,5,R5WX
W08,X13,5,R5WX
W08,X14,5,R5WX
W08,X15,5,R5WX
W08,X16,5,R5WX
W09,X01,5,R5WX
W09,X02,5,R5WX
W09,X03,5,R5WX
W09,X04,5,R5WX
W09,X05,5,R5WX
W09,X06,5,R5WX
W09,X07,5,R5WX
W09,X08,5,R5WX
W09,X09,5,R5WX
W09,X10,5,R5WX
W09,X11,5,R5WX
W09,X12,5,R5WX
W09,X13,5,R5WX
W09,X14,5,R5WX
W09,X15,5,R5WX
W09,X16,5,R5WX
W10,X01,5,R5WX
W10,X02,5,R5WX
W10,X03,5,R5WX
W10,X04,5,R5WX
W10,X05,5,R5WX
W10,X06,5,R5WX
W10,X07,5,R5WX
W10,X08,5,R5WX
W10,X09,5,R5WX
W10,X10,5,R5WX
W10,X11,5,R5WX
W10,X12,5,R5WX
W10,X13,5,R5WX
W10,X14,5,R5WX
W10,X15,5,R5WX
W10,X16,5,R5WX
W11,X01,5,R5WX
W11,X02,5,R5WX
W11,X03,5,R5WX
W11,X04,5,R5WX
W11,X05,5,R5WX
W11,X06,5,R5WX
W11,X07,5,R5WX
W11,X08,5,R5WX
W11,X09,5,R5WX
W11,X10,5,R5WX
W11,X11,5,R5WX
W11,X12,5,R5WX
W11,X13,5,R5WX
W11,X14,5,R5WX
W11,X15,5,R5WX
W11,X16,5,R5WX
W12,X01,5,R5WX
W12,X02,5,R5WX
W12,X03,5,R5WX
W12,X04,5,R5WX
W12,X05,5,R5WX
W12,X06,5,R5WX
W12,X07,5,R5WX
W12,X08,5,R5WX
W12,X09,5,R5WX
W12,X10,5,R5WX
W12,X11,5,R5WX
W12,X12,5,R5WX
W12,X13,5,R5WX
W12,X14,5,R5WX
W12,X15,5,R5WX
W12,X16,5,R5WX
W13,X01,5,R5WX
W13,X02,5,R5WX
W13,X03,5,R5WX
W13,X04,5,R5WX
W13,X05,5,R5WX
W13,X06,5,R5WX
W13,X07,5,R5WX
W13,X08,5,R5WX
W13,X09,5,R5WX
W13,X10,5,R5WX
W13,X11,5,R5WX
W13,X12,5,R5WX
W13,X13,5,R5WX
W13,X14,5,R5WX
W13,X15,5,R5WX
W13,X16,5,R5WX
W14,X01,5,R5WX
W14,X02,5,R5WX
W14,X03,5,R5WX
W14,X04,5,R5WX
W14,X05,5,R5WX
W14,X06,5,R5WX
W14,X07,5,R5WX
W14,X08,5,R5WX
W14,X09,5,R5WX
W14,X10,5,R5WX
W14,X11,5,R5WX
W14,X12,5,R5WX
W14,X13,5,R5WX
W14,X14,5,R5WX
W14,X15,5,R5WX
W14,X16,5,R5WX
W15,X01,5,R5WX
W15,X02,5,R5WX
W15,X03,5,R5WX
W15,X04,5,R5WX
W15,X05,5,R5WX
W15,X06,5,R5WX
W15,X07,5,R5WX
W15,X08,5,R5WX
W15,X09,5,R5WX
W15,X10,5,R5WX
W15,X11,5,R5WX
W15,X12,5,R5WX
W15,X13,5,R5WX
W15,X14,5,R5WX
W15,X15,5,R5WX
W15,X16,5,R5WX
W16,X01,5,R5WX
W16,X02,5,R5WX
W16,X03,5,R5WX
W16,X04,5,R5WX
W16,X05,5,R5WX
W16,X06,5,R5WX
W16,X07,5,R5WX
W16,X08,5,R5WX
W16,X09,5,R5WX
W16,X10,5,R5WX
W16,X11,5,R5WX
W16,X12,5,R5WX
W16,X13,5,R5WX
W16,X14,5,R5WX
W16,X15,5,R5WX
W16,X16,5,R5WX
Y01,Z01,5,R5YZ
Y01,Z02,5,R5YZ
Y01,Z03,5,R5YZ
Y01,Z04,5,R5YZ
Y01,Z05,5,R5YZ
Y01,Z06,5,R5YZ
Y01,Z07,5,R5YZ
Y01,Z08,5,R5YZ
Y01,Z09,5,R5YZ
Y01,Z10,5,R5YZ
Y01,Z11,5,R5YZ
Y01,Z12,5,R5YZ
Y01,Z13,5,R5YZ
Y01,Z14,5,R5YZ
Y01,Z15,5,R5YZ
Y01,Z16,5,R5YZ
Y02,Z01,5,R5YZ
Y02,Z02,5,R5YZ
Y02,Z03,5,R5YZ
Y02,Z04,5,R5YZ
Y02,Z05,5,R5YZ
Y02,Z06,5,R5YZ
Y02,Z07,5,R5YZ
Y02,Z08,5,R5YZ
Y02,Z09,5,R5YZ
Y02,Z10,5,R5YZ
Y02,Z11,5,R5YZ
Y02,Z12,5,R5YZ
Y02,Z13,5,R5YZ
Y02,Z14,5,R5YZ
Y02,Z15,5,R5YZ
Y02,Z16,5,R5YZ
Y03,Z01,5,R5YZ
Y03,Z02,5,R5YZ
Y03,Z03,5,R5YZ
Y03,Z04,5,R5YZ
Y03,Z05,5,R5YZ
Y03,Z06,5,R5YZ
Y03,Z07,5,R5YZ
Y03,Z08,5,R5YZ
Y03,Z09,5,R5YZ
Y03,Z10,5,R5YZ
Y03,Z11,5,R5YZ
Y03,Z12,5,R5YZ
Y03,Z13,5,R5YZ
Y03,Z14,5,R5YZ
Y03,Z15,5,R5YZ
Y03,Z16,5,R5YZ
Y04,Z01,5,R5YZ
Y04,Z02,5,R5YZ
Y04,Z03,5,R5YZ
Y04,Z04,5,R5YZ
Y04,Z05,5,R5YZ
Y04,Z06,5,R5YZ
Y04,Z07,5,R5YZ
Y04,Z08,5,R5YZ
Y04,Z09,5,R5YZ
Y04,Z10,5,R5YZ
Y04,Z11,5,R5YZ
Y04,Z12,5,R5YZ
Y04,Z13,5,R5YZ
Y04,Z14,5,R5YZ
Y04,Z15,5,R5YZ
Y04,Z16,5,R5YZ
Y05,Z01,5,R5YZ
Y05,Z02,5,R5YZ
Y05,Z03,5,R5YZ
Y05,Z04,5,R5YZ
Y05,Z05,5,R5YZ
Y05,Z06,5,R5YZ
Y05,Z07,5,R5YZ
Y05,Z08,5,R5YZ
Y05,Z09,5,R5YZ
Y05,Z10,5,R5YZ
Y05,Z11,5,R5YZ
Y05,Z12,5,R5YZ
Y05,Z13,5,R5YZ
Y05,Z14,5,R5YZ
Y05,Z15,5,R5YZ
Y05,Z16,5,R5YZ
Y06,Z01,5,R5YZ
Y06,Z02,5,R5YZ
Y06,Z03,5,R5YZ
Y06,Z04,5,R5YZ
Y06,Z05,5,R5YZ
Y06,Z06,5,R5YZ
Y06,Z07,5,R5YZ
Y06,Z08,5,R5YZ
Y06,Z09,5,R5YZ
Y06,Z10,5,R5YZ
Y06,Z11,5,R5YZ
Y06,Z12,5,R5YZ
Y06,Z13,5,R5YZ
Y06,Z14,5,R5YZ
Y06,Z15,5,R5YZ
Y06,Z16,5,R5YZ
Y07,Z01,5,R5YZ
Y07,Z02,5,R5YZ
Y07,Z03,5,R5YZ
Y07,Z04,5,R5YZ
Y07,Z05,5,R5YZ
Y07,Z06,5,R5YZ
Y07,Z07,5,R5YZ
Y07,Z08,5,R5YZ
Y07,Z09,5,R5YZ
Y07,Z10,5,R5YZ
Y07,Z11,5,R5YZ
Y07,Z12,5,R5YZ
Y07,Z13,5,R5YZ
Y07,Z14,5,R5YZ
Y07,Z15,5,R5YZ
Y07,Z16,5,R5YZ
Y08,Z01,5,R5YZ
Y08,Z02,5,R5YZ
Y08,Z03,5,R5YZ
Y08,Z04,5,R5YZ
Y08,Z05,5,R5YZ
Y08,Z06,5,R5YZ
Y08,Z07,5,R5YZ
Y08,Z08,5,R5YZ
Y08,Z09,5,R5YZ
Y08,Z10,5,R5YZ
Y08,Z11,5,R5YZ
Y08,Z12,5,R5YZ
Y08,Z13,5,R5YZ
Y08,Z14,5,R5YZ
Y08,Z15,5,R5YZ
Y08,Z16,5,R5YZ
Y09,Z01,5,R5YZ
Y09,Z02,5,R5YZ
Y09,Z03,5,R5YZ
Y09,Z04,5,R5YZ
Y09,Z05,5,R5YZ
Y09,Z06,5,R5YZ
Y09,Z07,5,R5YZ
Y09,Z08,5,R5YZ
Y09,Z09,5,R5YZ
Y09,Z10,5,R5YZ
Y09,Z11,5,R5YZ
Y09,Z12,5,R5YZ
Y09,Z13,5,R5YZ
Y09,Z14,5,R5YZ
Y09,Z15,5,R5YZ
Y09,Z16,5,R5YZ
Y10,Z01,5,R5YZ
Y10,Z02,5,R5YZ
Y10,Z03,5,R5YZ
Y10,Z04,5,R5YZ
Y10,Z05,5,R5YZ
Y10,Z06,5,R5YZ
Y10,Z07,5,R5YZ
Y10,Z08,5,R5YZ
Y10,Z09,5,R5YZ
Y10,Z10,5,R5YZ
Y10,Z11,5,R5YZ
Y10,Z12,5,R5YZ
Y10,Z13,5,R5YZ
Y10,Z14,5,R5YZ
Y10,Z15,5,R5YZ
Y10,Z16,5,R5YZ
Y11,Z01,5,R5YZ
Y11,Z02,5,R5YZ
Y11,Z03,5,R5YZ
Y11,Z04,5,R5YZ
Y11,Z05,5,R5YZ
Y11,Z06,5,R5YZ
Y11,Z07,5,R5YZ
Y11,Z08,5,R5YZ
Y11,Z09,5,R5YZ
Y11,Z10,5,R5YZ
Y11,Z11,5,R5YZ
Y11,Z12,5,R5YZ
Y11,Z13,5,R5YZ
Y11,Z14,5,R5YZ
Y11,Z15,5,R5YZ
Y11,Z16,5,R5YZ
Y12,Z01,5,R5YZ
Y12,Z02,5,R5YZ
Y12,Z03,5,R5YZ
Y12,Z04,5,R5YZ
Y12,Z05,5,R5YZ
Y12,Z06,5,R5YZ
Y12,Z07,5,R5YZ
Y12,Z08,5,R5YZ
Y12,Z09,5,R5YZ
Y12,Z10,5,R5YZ
Y12,Z11,5,R5YZ
Y12,Z12,5,R5YZ
Y12,Z13,5,R5YZ
Y12,Z14,5,R5YZ
Y12,Z15,5,R5YZ
Y12,Z16,5,R5YZ
Y13,Z01,5,R5YZ
Y13,Z02,5,R5YZ
Y13,Z03,5,R5YZ
Y13,Z04,5,R5YZ
Y13,Z05,5,R5YZ
Y13,Z06,5,R5YZ
Y13,Z07,5,R5YZ
Y13,Z08,5,R5YZ
Y13,Z09,5,R5YZ
Y13,Z10,5,R5YZ
Y13,Z11,5,R5YZ
Y13,Z12,5,R5YZ
Y13,Z13,5,R5YZ
Y13,Z14,5,R5YZ
Y13,Z15,5,R5YZ
Y13,Z16,5,R5YZ
Y14,Z01,5,R5YZ
Y14,Z02,5,R5YZ
Y14,Z03,5,R5YZ
Y14,Z04,5,R5YZ
Y14,Z05,5,R5YZ
Y14,Z06,5,R5YZ
Y14,Z07,5,R5YZ
Y14,Z08,5,R5YZ
Y14,Z09,5,R5YZ
Y14,Z10,5,R5YZ
Y14,Z11,5,R5YZ
Y14,Z12,5,R5YZ
Y14,Z13,5,R5YZ
Y14,Z14,5,R5YZ
Y14,Z15,5,R5YZ
Y14,Z16,5,R5YZ
Y15,Z01,5,R5YZ
Y15,Z02,5,R5YZ
Y15,Z03,5,R5YZ
Y15,Z04,5,R5YZ
Y15,Z05,5,R5YZ
