TeamNameSpelling,MTeamID,WTeamID,espn_id
college-of-charleston,1158,3158,232
colorado,1160,3160,38
colorado st,1161,3161,36
colorado st.,1161,3161,36
colorado state,1161,3161,36
colorado-st,1161,3161,36
colorado-state,1161,3161,36
columbia,1162,3162,171
connecticut,1163,3163,41
coppin st,1164,3164,2154
coppin st.,1164,3164,2154
coppin state,1164,3164,2154
coppin-st,1164,3164,2154
coppin-state,1164,3164,2154
cornell,1165,3165,172
creighton,1166,3166,156
cs bakersfield,1167,3167,2934
cs fullerton,1168,3168,2239
cs northridge,1169,3169,2463
cs sacramento,1170,3170,16
csu bakersfield,1167,3167,2934
csu northridge,1169,3169,2463
csu-bakersfield,1167,3167,2934
csun,1169,3169,2463
dartmouth,1171,3171,159
davidson,1172,3172,2166
dayton,1173,3173,2168
delaware,1174,3174,48
delaware st,1175,3175,2169
delaware st.,1175,3175,2169
delaware state,1175,3175,2169
delaware-st,1175,3175,2169
delaware-state,1175,3175,2169
denver,1176,3176,2172
depaul,1177,3177,305
detroit,1178,3178,2174
detroit mercy,1178,3178,2174
detroit-mercy,1178,3178,2174
dixie st,1469,3469,3101
dixie state,1469,3469,3101
drake,1179,3179,2181
drexel,1180,3180,2182
duke,1181,3181,150
duquesne,1182,3182,2184
e illinois,1183,3183,2197
e kentucky,1184,3184,2198
e michigan,1185,3185,2199
e washington,1186,3186,331
east carolina,1187,3187,151
east tenn. st.,1190,3190,2193
east tennessee st.,1190,3190,2193
east tennessee state,1190,3190,2193
east-carolina,1187,3187,151
east-tennessee-state,1190,3190,2193
eastern ill.,1183,3183,2197
eastern illinois,1183,3183,2197
eastern kentucky,1184,3184,2198
eastern ky.,1184,3184,2198
eastern mich.,1185,3185,2199
eastern michigan,1185,3185,2199
eastern wash.,1186,3186,331
eastern washington,1186,3186,331
eastern-ill,1183,3183,2197
eastern-illinois,1183,3183,2197
eastern-kentucky,1184,3184,2198
eastern-ky,1184,3184,2198
eastern-mich,1185,3185,2199
eastern-michigan,1185,3185,2199
eastern-wash,1186,3186,331
eastern-washington,1186,3186,331
edwardsville,1188,3188,2565
elon,1189,3189,2210
elon university,1189,3189,2210
estern carolina,1441,3441,2717
etsu,1190,3190,2193
evansville,1191,3191,339
f dickinson,1192,3192,161
fairfield,1193,3193,2217
fairleigh dickinson,1192,3192,161
fairleigh-dickinson,1192,3192,161
fgcu,1195,3195,526
fiu,1198,3198,2229
fl atlantic,1194,3194,2226
fl gulf coast,1195,3195,526
fla-atlantic,1194,3194,2226
fla. atlantic,1194,3194,2226
florida,1196,3196,57
florida a&m,1197,3197,50
florida atlantic,1194,3194,2226
florida gulf coast,1195,3195,526
florida internationa,1198,3198,2229
florida international,1198,3198,2229
florida intl,1198,3198,2229
florida st,1199,3199,52
florida st.,1199,3199,52
florida state,1199,3199,52
florida-am,1197,3197,50
florida-atlantic,1194,3194,2226
florida-gulf-coast,1195,3195,526
florida-international,1198,3198,2229
florida-st,1199,3199,52
florida-state,1199,3199,52
fordham,1200,3200,2230
fort wayne,1236,3236,2870
fort wayne(ipfw),1236,3236,2870
fort-wayne,1236,3236,2870
fresno st,1201,3201,278
fresno st.,1201,3201,278
fresno state,1201,3201,278
fresno-st,1201,3201,278
fresno-state,1201,3201,278
furman,1202,3202,231
g washington,1203,3203,45
ga southern,1204,3204,290
ga-southern,1204,3204,290
ga. southern,1204,3204,290
gardner webb,1205,3205,2241
gardner-webb,1205,3205,2241
george mason,1206,3206,2244
george washington,1203,3203,45
george-mason,1206,3206,2244
george-washington,1203,3203,45
georgetown,1207,3207,46
georgia,1208,3208,61
georgia southern,1204,3204,290
georgia st,1209,3209,2247
georgia st.,1209,3209,2247
georgia state,1209,3209,2247
georgia tech,1210,3210,59
georgia-southern,1204,3204,290
georgia-st,1209,3209,2247
georgia-state,1209,3209,2247
georgia-tech,1210,3210,59
gonzaga,1211,3211,2250
grambling,1212,3212,2755
grambling st.,1212,3212,2755
grambling state,1212,3212,2755
grambling-state,1212,3212,2755
grand canyon,1213,3213,2253
grand-canyon,1213,3213,2253
green bay,1453,3453,2739
green-bay,1453,3453,2739
hampton,1214,3214,2261
hardin-simmons,1215,3215,2810
hartford,1216,3216,
harvard,1217,3217,108
hawai'i,1218,3218,62
hawaii,1218,3218,62
high point,1219,3219,2272
high-point,1219,3219,2272
hofstra,1220,3220,2275
holy cross,1221,3221,107
holy-cross,1221,3221,107
houston,1222,3222,248
houston bap,1223,3223,2277
houston baptist,1223,3223,2277
houston chr,1223,3223,2277
houston-baptist,1223,3223,2277
howard,1224,3224,47
idaho,1225,3225,70
idaho st,1226,3226,304
idaho st.,1226,3226,304
idaho state,1226,3226,304
idaho-st,1226,3226,304
idaho-state,1226,3226,304
il chicago,1227,3227,82
ill-chicago,1227,3227,82
ill.-chicago,1227,3227,82
illinois,1228,3228,356
illinois st,1229,3229,2287
illinois st.,1229,3229,2287
illinois state,1229,3229,2287
illinois-chicago,1227,3227,82
illinois-st,1229,3229,2287
illinois-state,1229,3229,2287
incarnate word,1230,3230,2916
incarnate-word,1230,3230,2916
indiana,1231,3231,84
indiana - purdue,1237,3237,85
indiana st,1232,3232,282
indiana st.,1232,3232,282
indiana state,1232,3232,282
indiana-st,1232,3232,282
indiana-state,1232,3232,282
iona,1233,3233,314
iowa,1234,3234,2294
iowa st,1235,3235,66
iowa st.,1235,3235,66
iowa state,1235,3235,66
iowa-st,1235,3235,66
iowa-state,1235,3235,66
ipfw,1236,3236,2870
iupu - ft. wayne,1236,3236,2870
iupu-fort wayne,1236,3236,2870
iupu-fort-wayne,1236,3236,2870
iupui,1237,3237,85
jackson st,1238,3238,2296
jackson st.,1238,3238,2296
jackson state,1238,3238,2296
jackson-st,1238,3238,2296
jackson-state,1238,3238,2296
jacksonville,1239,3239,294
jacksonville st,1240,3240,55
jacksonville st.,1240,3240,55
jacksonville state,1240,3240,55
jacksonville-st,1240,3240,55
jacksonville-state,1240,3240,55
james madison,1241,3241,256
james-madison,1241,3241,256
kansas,1242,3242,2305
kansas st,1243,3243,2306
kansas st.,1243,3243,2306
kansas state,1243,3243,2306
kansas-st,1243,3243,2306
kansas-state,1243,3243,2306
kennesaw,1244,3244,338
kennesaw st.,1244,3244,338
kennesaw state,1244,3244,338
kennesaw-st,1244,3244,338
kennesaw-state,1244,3244,338
kent,1245,3245,2309
kent st.,1245,3245,2309
kent state,1245,3245,2309
kent-st,1245,3245,2309
kent-state,1245,3245,2309
kentucky,1246,3246,96
la salle,1247,3247,2325
la-monroe,1419,3419,2433
la-salle,1247,3247,2325
la.-lafayette,1418,3418,309
la.-monroe,1419,3419,2433
lafayette,1248,3248,322
lamar,1249,3249,2320
lamar university,1249,3249,2320
lamar-university,1249,3249,2320
lehigh,1250,3250,2329
liberty,1251,3251,2335
lindenwood,1473,3473,2815
lipscomb,1252,3252,288
little rock,1114,3114,2031
little-rock,1114,3114,2031
liu brooklyn,1254,3254,112358
liu-brooklyn,1254,3254,112358
long beach st,1253,3253,299
long beach st.,1253,3253,299
long beach state,1253,3253,299
long island,1254,3254,112358
long island university,1254,3254,112358
long-beach-st,1253,3253,299
long-beach-state,1253,3253,299
long-island,1254,3254,112358
long-island-university,1254,3254,112358
longbeach state,1253,3253,299
longwood,1255,3255,2344
louisiana,1418,3418,309
louisiana state,1261,3261,99
louisiana tech,1256,3256,2348
louisiana-lafayette,1418,3418,309
louisiana-monroe,1419,3419,2433
louisiana-state,1261,3261,99
louisiana-tech,1256,3256,2348
louisville,1257,3257,97
loy marymount,1258,3258,2351
loyola (il),1260,3260,2350
loyola (md),1259,3259,2352
loyola chicago,1260,3260,2350
loyola maryland,1259,3259,2352
loyola marymount,1258,3258,2351
loyola md,1259,3259,2352
loyola-c,1260,3260,2350
loyola-chicago,1260,3260,2350
loyola-il,1260,3260,2350
loyola-maryland,1259,3259,2352
loyola-marymount,1258,3258,2351
loyola-md,1259,3259,2352
lsu,1261,3261,99
ma lowell,1262,3262,2349
maine,1263,3263,311
manhattan,1264,3264,2363
marist,1265,3265,2368
marquette,1266,3266,269
marshall,1267,3267,276
maryland,1268,3268,120
maryland - e. shore,1271,3271,2379
maryland-baltimore county,1420,3420,2378
maryland-baltimore-county,1420,3420,2378
maryland-eastern shore,1271,3271,2379
maryland-eastern-shore,1271,3271,2379
massachusetts,1269,3269,113
massachusetts lowell,1262,3262,2349
massachusetts-lowell,1262,3262,2349
mcneese,1270,3270,2377
mcneese st,1270,3270,2377
mcneese st.,1270,3270,2377
mcneese state,1270,3270,2377
mcneese-state,1270,3270,2377
md baltimore co,1420,3420,2378
md baltimore cty,1420,3420,2378
md e shore,1271,3271,2379
md. eastern shore,1271,3271,2379
memphis,1272,3272,235
mercer,1273,3273,2382
merrimack,1467,3467,2771
miami (fl),1274,3274,2390
miami (fla.),1274,3274,2390
miami (oh),1275,3275,193
miami (ohio),1275,3275,193
miami - florida,1274,3274,2390
miami fl,1274,3274,2390
miami oh,1275,3275,193
miami-fl,1274,3274,2390
miami-florida,1274,3274,2390
miami-oh,1275,3275,193
miami-ohio,1275,3275,193
michigan,1276,3276,130
michigan st,1277,3277,127
michigan st.,1277,3277,127
michigan state,1277,3277,127
michigan-st,1277,3277,127
michigan-state,1277,3277,127
middle tenn st,1292,3292,2393
middle tenn st.,1292,3292,2393
middle tenn.,1292,3292,2393
middle tennessee,1292,3292,2393
middle tennessee st.,1292,3292,2393
middle tennessee state,1292,3292,2393
middle-tenn,1292,3292,2393
middle-tennessee,1292,3292,2393
middle-tennessee-state,1292,3292,2393
milwaukee,1454,3454,270
minnesota,1278,3278,135
miss valley st.,1290,3290,2400
mississippi,1279,3279,145
mississippi st,1280,3280,344
mississippi st.,1280,3280,344
mississippi state,1280,3280,344
mississippi val.,1290,3290,2400
mississippi valley state,1290,3290,2400
mississippi-st,1280,3280,344
mississippi-state,1280,3280,344
mississippi-val,1290,3290,2400
mississippi-valley-state,1290,3290,2400
missouri,1281,3281,142
missouri kc,1282,3282,140
missouri st,1283,3283,2623
missouri st.,1283,3283,2623
missouri state,1283,3283,2623
missouri-kansas city,1282,3282,140
missouri-kansas-city,1282,3282,140
missouri-st,1283,3283,2623
missouri-state,1283,3283,2623
mo kansas city,1282,3282,140
monmouth,1284,3284,2405
monmouth nj,1284,3284,2405
monmouth-nj,1284,3284,2405
montana,1285,3285,149
montana st,1286,3286,147
montana st.,1286,3286,147
montana state,1286,3286,147
montana-st,1286,3286,147
montana-state,1286,3286,147
morehead st,1287,3287,2413
morehead st.,1287,3287,2413
morehead state,1287,3287,2413
morehead-st,1287,3287,2413
morehead-state,1287,3287,2413
morgan st,1288,3288,2415
morgan st.,1288,3288,2415
morgan state,1288,3288,2415
morgan-st,1288,3288,2415
morgan-state,1288,3288,2415
morris brown,1289,3289,
morris-brown,1289,3289,
mount saint mary`s,1291,3291,116
mount st. mary's,1291,3291,116
mount st. marys,1291,3291,116
mount-st-marys,1291,3291,116
ms valley st,1290,3290,2400
ms valley state,1290,3290,2400
mt st mary's,1291,3291,116
mt st. mary's,1291,3291,116
mt-st-marys,1291,3291,116
mt. st. mary's,1291,3291,116
mt. st. mary`s,1291,3291,116
mtsu,1292,3292,2393
murray st,1293,3293,93
murray st.,1293,3293,93
murray state,1293,3293,93
murray-st,1293,3293,93
murray-state,1293,3293,93
mvsu(miss. valley st,1290,3290,2400
n colorado,1294,3294,2458
n dakota st,1295,3295,2449
n illinois,1296,3296,2459
n kentucky,1297,3297,94
n. carolina a&t,1299,3299,2448
n.c. a&t,1299,3299,2448
n.c. asheville,1421,3421,2427
n.c. central,1300,3300,2428
n.c. state,1301,3301,152
n.j.i.t.,1312,3312,2885
navy,1298,3298,2426
nc a&t,1299,3299,2448
nc asheville,1421,3421,2427
nc central,1300,3300,2428
nc charlotte,1150,3150,2429
nc greensboro,1422,3422,2430
nc state,1301,3301,152
nc wilmington,1423,3423,350
nc-at,1299,3299,2448
nc-central,1300,3300,2428
nc-greensboro,1422,3422,2430
nc-state,1301,3301,152
nc-wilmington,1423,3423,350
ne illinois,1302,3302,
ne omaha,1303,3303,2437
nebraska,1304,3304,158
nebraska omaha,1303,3303,2437
nebraska-omaha,1303,3303,2437
nevada,1305,3305,2440
nevada-las vegas,1424,3424,2439
nevada-las-vegas,1424,3424,2439
new hampshire,1306,3306,160
new jersey tech,1312,3312,2885
new mexico,1307,3307,167
new mexico st,1308,3308,166
new mexico st.,1308,3308,166
new mexico state,1308,3308,166
new orleans,1309,3309,2443
new-hampshire,1306,3306,160
new-jersey-tech,1312,3312,2885
new-mexico,1307,3307,167
new-mexico-st,1308,3308,166
new-mexico-state,1308,3308,166
new-orleans,1309,3309,2443
neworleans,1309,3309,2443
niagara,1310,3310,315
nicholls,1311,3311,2447
nicholls st,1311,3311,2447
nicholls st.,1311,3311,2447
nicholls state,1311,3311,2447
nicholls-st,1311,3311,2447
nicholls-state,1311,3311,2447
njit,1312,3312,2885
no.carolina a&t,1299,3299,2448
norfolk st,1313,3313,2450
norfolk st.,1313,3313,2450
norfolk state,1313,3313,2450
norfolk-st,1313,3313,2450
norfolk-state,1313,3313,2450
north ala.,1466,3466,2453
north alabama,1466,3466,2453
north carolina,1314,3314,153
north carolina a&t,1299,3299,2448
north carolina central,1300,3300,2428
north carolina st.,1301,3301,152
north carolina state,1301,3301,152
north carolina-asheville,1421,3421,2427
north carolina-greensboro,1422,3422,2430
north carolina-wilmington,1423,3423,350
north dakota,1315,3315,155
north dakota st.,1295,3295,2449
north dakota state,1295,3295,2449
north florida,1316,3316,2454
north texas,1317,3317,249
north-carolina,1314,3314,153
north-carolina-asheville,1421,3421,2427
north-carolina-at,1299,3299,2448
north-carolina-central,1300,3300,2428
north-carolina-charlotte,1150,3150,2429
north-carolina-greensboro,1422,3422,2430
north-carolina-st,1301,3301,152
north-carolina-state,1301,3301,152
north-carolina-wilmington,1423,3423,350
north-dakota,1315,3315,155
north-dakota-st,1295,3295,2449
north-dakota-state,1295,3295,2449
north-florida,1316,3316,2454
north-texas,1317,3317,249
northeastern,1318,3318,111
northeastern illinois,1302,3302,
northern ariz.,1319,3319,2464
northern arizona,1319,3319,2464
northern colo.,1294,3294,2458
northern colorado,1294,3294,2458
northern ill.,1296,3296,2459
northern illinois,1296,3296,2459
northern iowa,1320,3320,2460
northern kentucky,1297,3297,94
northern ky.,1297,3297,94
northern-ariz,1319,3319,2464
northern-arizona,1319,3319,2464
northern-colo,1294,3294,2458
northern-colorado,1294,3294,2458
northern-ill,1296,3296,2459
northern-illinois,1296,3296,2459
northern-iowa,1320,3320,2460
northern-kentucky,1297,3297,94
northern-ky,1297,3297,94
northwestern,1321,3321,77
northwestern la,1322,3322,2466
northwestern st.,1322,3322,2466
northwestern state,1322,3322,2466
northwestern-st,1322,3322,2466
northwestern-state,1322,3322,2466
notre dame,1323,3323,87
notre-dame,1323,3323,87
oakland,1324,3324,2473
ohio,1325,3325,195
ohio st,1326,3326,194
ohio st.,1326,3326,194
ohio state,1326,3326,194
ohio-st,1326,3326,194
ohio-state,1326,3326,194
okla city,1327,3327,
oklahoma,1328,3328,201
oklahoma city,1327,3327,
oklahoma st,1329,3329,197
oklahoma st.,1329,3329,197
oklahoma state,1329,3329,197
oklahoma-st,1329,3329,197
oklahoma-state,1329,3329,197
old dominion,1330,3330,295
old-dominion,1330,3330,295
ole miss,1279,3279,145
ole-miss,1279,3279,145
omaha,1303,3303,2437
oral roberts,1331,3331,198
oral-roberts,1331,3331,198
oregon,1332,3332,2483
oregon st,1333,3333,204
oregon st.,1333,3333,204
oregon state,1333,3333,204
oregon-st,1333,3333,204
oregon-state,1333,3333,204
pacific,1334,3334,279
penn,1335,3335,219
penn st,1336,3336,213
penn st.,1336,3336,213
penn state,1336,3336,213
penn-st,1336,3336,213
penn-state,1336,3336,213
pennsylvania,1335,3335,219
pepperdine,1337,3337,2492
pfw,1236,3236,2870
pitt,1338,3338,221
pittsburgh,1338,3338,221
portland,1339,3339,2501
portland st,1340,3340,2502
portland st.,1340,3340,2502
portland state,1340,3340,2502
portland-st,1340,3340,2502
portland-state,1340,3340,2502
prairie view,1341,3341,2504
prairie view a&m,1341,3341,2504
prairie-view,1341,3341,2504
prairie-view-am,1341,3341,2504
presbyterian,1342,3342,2506
princeton,1343,3343,163
providence,1344,3344,2507
purdue,1345,3345,2509
purdue fort wayne,1236,3236,2870
queens nc,1474,3474,2511
quinnipiac,1346,3346,2514
radford,1347,3347,2515
rhode island,1348,3348,227
rhode-island,1348,3348,227
rice,1349,3349,242
richmond,1350,3350,257
rider,1351,3351,2520
robert morris,1352,3352,2523
robert-morris,1352,3352,2523
rutgers,1353,3353,164
s carolina st,1354,3354,2569
s carolina state,1354,3354,2569
s dakota st,1355,3355,2571
s illinois,1356,3356,79
sacramento st.,1170,3170,16
sacramento state,1170,3170,16
sacramento-st,1170,3170,16
sacramento-state,1170,3170,16
sacred heart,1357,3357,2529
sacred-heart,1357,3357,2529
saint bonaventure,1382,3382,179
saint francis (ny),1383,3383,2597
saint francis (pa),1384,3384,2598
saint john`s,1385,3385,2599
saint joseph's,1386,3386,2603
saint joseph`s,1386,3386,2603
saint joseph’s,1386,3386,2603
saint louis,1387,3387,139
saint mary's,1388,3388,2608
saint mary's (ca),1388,3388,2608
saint mary`s,1388,3388,2608
saint peter's,1389,3389,2612
saint peter`s,1389,3389,2612
saint peter’s,1389,3389,2612
saint thomas (minn.),1472,3472,2900
saint-francis-pa,1384,3384,2598
saint-josephs,1386,3386,2603
saint-louis,1387,3387,139
saint-marys,1388,3388,2608
saint-marys-ca,1388,3388,2608
saint-peters,1389,3389,2612
saintlouis,1387,3387,139
sam houston,1358,3358,2534
sam houston st,1358,3358,2534
sam houston st.,1358,3358,2534
sam houston state,1358,3358,2534
sam-houston-st,1358,3358,2534
sam-houston-state,1358,3358,2534
samford,1359,3359,2535
san diego,1360,3360,301
san diego st,1361,3361,21
san diego st.,1361,3361,21
san diego state,1361,3361,21
san francisco,1362,3362,2539
san jose st,1363,3363,23
san jose st.,1363,3363,23
san jose state,1363,3363,23
san-diego,1360,3360,301
san-diego-st,1361,3361,21
san-diego-state,1361,3361,21
san-francisco,1362,3362,2539
san-jose-st,1363,3363,23
san-jose-state,1363,3363,23
santa barbara,1364,3364,2540
santa clara,1365,3365,2541
santa-clara,1365,3365,2541
savannah st,1366,3366,
savannah st.,1366,3366,
savannah state,1366,3366,
savannah-st,1366,3366,
savannah-state,1366,3366,
sc state,1354,3354,2569
sc upstate,1367,3367,2908
sd state,1361,3361,21
se louisiana,1368,3368,2545
se missouri st,1369,3369,2546
se missouri st.,1369,3369,2546
se missouri st.(se,1369,3369,2546
se missouri state,1369,3369,2546
seattle,1370,3370,2547
seattle u,1370,3370,2547
seattle-u,1370,3370,2547
seton hall,1371,3371,2550
seton-hall,1371,3371,2550
sf austin,1372,3372,2617
sfa,1372,3372,2617
siena,1373,3373,2561
siu - edwardsville,1188,3188,2565
siu edwardsville,1188,3188,2565
siu-edwardsville,1188,3188,2565
siue,1188,3188,2565
sju (pa),1386,3386,2603
smu,1374,3374,2567
south ala.,1375,3375,6
south alabama,1375,3375,6
south carolina,1376,3376,2579
south carolina st.,1354,3354,2569
south carolina state,1354,3354,2569
south carolina upstat,1367,3367,2908
south carolina upstate,1367,3367,2908
south dakota,1377,3377,233
south dakota st.,1355,3355,2571
south dakota state,1355,3355,2571
south fla.,1378,3378,58
south florida,1378,3378,58
south-ala,1375,3375,6
south-alabama,1375,3375,6
south-carolina,1376,3376,2579
south-carolina-st,1354,3354,2569
south-carolina-state,1354,3354,2569
south-carolina-upstate,1367,3367,2908
south-dakota,1377,3377,233
south-dakota-st,1355,3355,2571
south-dakota-state,1355,3355,2571
south-fla,1378,3378,58
south-florida,1378,3378,58
southeast missouri state,1369,3369,2546
southeast mo. st.,1369,3369,2546
southeast-missouri-state,1369,3369,2546
southeast-mo-st,1369,3369,2546
southeastern la.,1368,3368,2545
southeastern louisiana,1368,3368,2545
southeastern-la,1368,3368,2545
southeastern-louisiana,1368,3368,2545
southern,1380,3380,2582
southern california,1425,3425,30
southern ill.,1356,3356,79
southern illinois,1356,3356,79
southern illinois-edwardsville,1188,3188,2565
southern indiana,1475,3475,88
southern methodist,1374,3374,2567
southern miss,1379,3379,2572
southern miss.,1379,3379,2572
southern mississippi,1379,3379,2572
southern u,1380,3380,2582
southern u.,1380,3380,2582
southern un,1380,3380,2582
southern univ,1380,3380,2582
southern utah,1381,3381,253
southern-california,1425,3425,30
southern-ill,1356,3356,79
southern-illinois,1356,3356,79
southern-illinois-edwardsville,1188,3188,2565
southern-methodist,1374,3374,2567
southern-miss,1379,3379,2572
southern-mississippi,1379,3379,2572
southern-u,1380,3380,2582
southern-university,1380,3380,2582
southern-utah,1381,3381,253
southwest missouri state,1283,3283,2623
st bonaventure,1382,3382,179
st francis (ny),1383,3383,2597
st francis (pa),1384,3384,2598
st francis ny,1383,3383,2597
st francis pa,1384,3384,2598
st john's,1385,3385,2599
st john's (ny),1385,3385,2599
st joseph's,1386,3386,2603
st joseph's pa,1386,3386,2603
st louis,1387,3387,139
st mary's (ca),1388,3388,2608
st mary's ca,1388,3388,2608
st peter's,1389,3389,2612
st thomas mn,1472,3472,2900
st-bonaventure,1382,3382,179
st-francis-brooklyn,1383,3383,2597
st-francis-ny,1383,3383,2597
st-francis-pa,1384,3384,2598
st-johns,1385,3385,2599
st-johns-ny,1385,3385,2599
st-josephs-pa,1386,3386,2603
st-marys-ca,1388,3388,2608
st-peters,1389,3389,2612
st. bonaventure,1382,3382,179
st. francis (bkn),1383,3383,2597
st. francis (ny),1383,3383,2597
st. francis (pa),1384,3384,2598
st. francis brooklyn,1383,3383,2597
st. francis-ny,1383,3383,2597
st. john's,1385,3385,2599
st. john's (ny),1385,3385,2599
st. john`s (ny),1385,3385,2599
st. john’s,1385,3385,2599
st. joseph's,1386,3386,2603
st. joseph's pa,1386,3386,2603
st. mary's,1388,3388,2608
st. mary`s (ca),1388,3388,2608
st. peter's,1389,3389,2612
stanford,1390,3390,24
stephen f. austin,1372,3372,2617
stephen-f-austin,1372,3372,2617
stetson,1391,3391,56
stonehill,1476,3476,284
stony brook,1392,3392,2619
stony-brook,1392,3392,2619
suny albany,1107,3107,399
